front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A137,L141,11,7,-276.146825,170.0,-266.723474,141.428942
A138,L142,12,1,-254.904762,170.0,-235.321577,141.428942
A139,L143,12,3,-233.662698,170.0,-218.368405,141.428942
A140,L144,12,5,-212.420635,170.0,-201.415234,141.428942
A141,L145,12,8,-191.178571,170.0,-175.985477,141.428942
A142,L146,13,1,-169.936508,170.0,-153.060166,141.428942
A143,L147,13,4,-148.694444,170.0,-127.630409,141.428942
A144,L148,13,6,-127.452381,170.0,-110.677238,141.428942
A145,L149,13,8,-106.210317,170.0,-93.724066,141.428942
A146,L150,14,2,-84.968254,170.0,-62.32217,141.428942
A147,L151,14,4,-63.72619,170.0,-45.368998,141.428942
A148,L152,14,14,-42.484127,170.0,-28.415827,125.583506
A149,L153,14,8,-21.242063,170.0,-11.462656,141.428942
A150,L154,15,1,0.0,170.0,11.462656,141.428942
A151,L155,15,3,21.242063,170.0,28.415827,141.428942
A152,L156,15,4,42.484127,170.0,36.892413,141.428942
A153,L157,15,6,63.72619,170.0,53.845584,141.428942
A154,L158,15,7,84.968254,170.0,62.32217,141.428942
A155,L159,16,1,106.210317,170.0,93.724066,141.428942
A156,L160,16,3,127.452381,170.0,110.677238,141.428942
A157,L161,16,5,148.694444,170.0,127.630409,141.428942
A158,L162,16,8,169.936508,170.0,153.060166,141.428942
A159,L163,17,1,191.178571,170.0,175.985477,141.428942
A160,L164,17,4,212.420635,170.0,201.415234,141.428942
A161,L165,17,6,233.662698,170.0,218.368405,141.428942
A162,L166,17,8,254.904762,170.0,235.321577,141.428942
A163,L167,18,2,276.146825,170.0,266.723474,141.428942
A164,L168,18,4,297.388889,170.0,283.676645,141.428942
A165,L170,11,13,-295.192593,150.0,-283.676645,125.583506
A166,L171,11,6,-274.107407,150.0,-275.200059,141.428942
A167,L172,12,9,-253.022222,150.0,-235.321577,125.583506
A168,L173,12,2,-231.937037,150.0,-226.844991,141.428942
A169,L174,12,13,-210.851852,150.0,-201.415234,125.583506
A170,L175,12,7,-189.766667,150.0,-184.462063,141.428942
A171,L176,13,9,-168.681481,150.0,-153.060166,125.583506
A172,L177,13,3,-147.596296,150.0,-136.106995,141.428942
A173,L178,13,13,-126.511111,150.0,-119.153823,125.583506
A174,L179,13,7,-105.425926,150.0,-102.200652,141.428942
A175,L180,14,1,-84.340741,150.0,-70.798755,141.428942
A176,L181,14,3,-63.255556,150.0,-53.845584,141.428942
A177,L182,14,5,-42.17037,150.0,-36.892413,141.428942
A178,L183,14,7,-21.085185,150.0,-19.939241,141.428942
A179,L184,15,9,0.0,150.0,11.462656,125.583506
A180,L185,15,2,21.085185,150.0,19.939241,141.428942
A181,L186,15,5,42.17037,150.0,45.368998,141.428942
A182,L187,15,14,63.255556,150.0,53.845584,125.583506
A183,L188,15,8,84.340741,150.0,70.798755,141.428942
A184,L189,16,2,105.425926,150.0,102.200652,141.428942
